objid,class,u,g,r,i,z,specObjID,spectrum
1237648720683794671,GALAXY,19.61966,18.3057,17.29554,16.83052,16.42721,306262399411841024,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0064.fits
1237651800163483756,GALAXY,19.11407,17.98556,17.39348,17.03695,16.78839,306262674289747968,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0065.fits
1237648721220600036,GALAXY,19.19671,18.02971,17.66377,17.39088,17.30798,306264598435096576,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0072.fits
1237654670275444846,GALAXY,19.11531,17.84113,17.21296,16.87495,16.67038,306264873313003520,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0073.fits
1237648721220534536,GALAXY,19.30255,17.73667,16.89411,16.43283,16.10832,306265148190910464,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0074.fits
1237648721220599977,GALAXY,19.80123,17.70686,16.71136,16.26054,15.87055,306266522580445184,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0079.fits
1237651800163090578,GALAXY,19.6896,19.36616,18.94385,18.49982,18.44637,306270370871142400,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0093.fits
1237654669201375396,GALAXY,19.75487,19.39117,18.91902,18.7511,18.36233,306271745260677120,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0098.fits
1237648721220534469,GALAXY,19.59852,18.07964,17.27637,16.84694,16.59784,306275593551374336,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0112.fits
1237654670275379424,GALAXY,19.92397,17.91641,16.89026,16.42119,16.02858,306276418185095168,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0115.fits
1237651800700092601,GALAXY,19.8686,17.98088,17.09311,16.71121,16.37978,306277242818816000,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0118.fits
1237651799626088615,GALAXY,19.14376,18.03604,17.63099,17.35212,17.24085,306281091109513216,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0132.fits
1237654669201309839,GALAXY,19.58845,18.31244,17.41659,16.96761,16.66427,306281640865327104,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0134.fits
1237651799626154052,GALAXY,19.37693,17.59903,16.80308,16.37185,16.02404,306281915743234048,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0135.fits
1237648720683467009,GALAXY,19.11028,17.94168,17.43467,17.06567,16.85565,306283839888582656,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0142.fits
1237648720683466979,GALAXY,19.54897,17.51301,16.45344,16.0058,15.6212,306284664522303488,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0145.fits
1237648720683532529,GALAXY,19.57177,17.46221,16.27889,15.79341,15.41951,306286313789745152,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0151.fits
1237654670275248374,GALAXY,19.29265,18.19859,17.54443,17.21305,17.00189,306286588667652096,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0152.fits
1237651800163221595,GALAXY,19.33555,18.21598,17.48199,17.05566,16.76909,306288237935093760,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0158.fits
1237648720683466951,GALAXY,19.99171,17.7506,16.5111,15.9906,15.61812,306290162080442368,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0165.fits
1237648721220337871,GALAXY,19.26556,18.1423,17.65578,17.31163,17.13778,306292635981604864,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0174.fits
1237651800699961470,GALAXY,19.97746,18.35736,17.45983,16.97321,16.67285,306293735493232640,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0178.fits
1237651800699764948,GALAXY,19.72661,17.62618,16.614,16.12404,15.78484,306294835004860416,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0182.fits
1237648721220141270,GALAXY,19.26553,18.17598,17.6202,17.24079,17.02859,306295109882767360,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0183.fits
1237648720683270324,GALAXY,19.71791,18.30066,17.5116,17.08593,16.77504,306295934516488192,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0186.fits
1237651800699830431,GALAXY,19.80702,17.83238,16.8224,16.39266,16.00444,306297858661836800,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0193.fits
1237648721220206611,GALAXY,19.50659,17.54615,16.56442,16.11721,15.76904,306298683295557632,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0196.fits
1237654668664373290,GALAXY,19.76962,17.93909,17.07991,16.68698,16.33506,306300607440906240,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0203.fits
1237654668664307868,GALAXY,19.87887,18.94997,18.45254,18.05897,17.89801,306302256708347904,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0209.fits
1237648720146333822,GALAXY,19.33908,18.04632,17.56294,17.2359,17.00335,306303081342068736,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0212.fits
1237651800699764877,GALAXY,19.17572,17.71335,16.98065,16.55986,16.3115,306306379876952064,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0224.fits
1237651800699764887,GALAXY,19.70267,17.84481,16.85302,16.37637,16.01677,306306654754859008,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0225.fits
1237654670274986066,GALAXY,19.94844,18.86609,18.46275,18.16145,18.02942,306306929632765952,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0226.fits
1237648721220141175,GALAXY,19.43609,17.36648,16.34,15.8825,15.48217,306307754266486784,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0229.fits
1237654669738115263,GALAXY,19.91469,19.11168,18.86961,18.5239,18.56389,306308304022300672,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0231.fits
1237648720683204788,GALAXY,19.58371,18.4071,17.7778,17.39698,17.14005,306308578900207616,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0232.fits
1237654669738115225,GALAXY,19.47737,19.29638,18.91142,18.88646,18.4445,306309403533928448,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0235.fits
1237648720683204778,GALAXY,19.68882,17.87505,16.96614,16.55284,16.18339,306309678411835392,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0236.fits
1237648720683270307,GALAXY,19.53322,17.58932,16.61437,16.18323,15.82504,306309953289742336,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0237.fits
1237648720683270271,GALAXY,19.55735,18.233,17.53442,17.08194,16.98594,306310228167649280,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0238.fits
1237651799625760991,GALAXY,19.81405,18.40828,17.71454,17.35383,17.10634,306312152312997888,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0245.fits
1237651799625892039,GALAXY,19.3012,18.06022,17.42462,17.04293,16.81868,306312427190904832,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0246.fits
1237654668664176770,GALAXY,19.90534,17.81043,16.73198,16.27229,15.88837,306312976946718720,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0248.fits
1237651799625826390,GALAXY,19.64398,18.53459,17.82366,17.34027,17.11291,306313526702532608,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0250.fits
1237654668664242382,GALAXY,19.72799,18.34846,17.73292,17.2893,17.03032,306314076458346496,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0252.fits
1237651799625892038,GALAXY,19.66403,18.19518,17.37984,16.89595,16.65017,306315450847881216,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0257.fits
1237648721220010190,GALAXY,19.04742,17.7891,17.22028,16.85265,16.63165,306316550359508992,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0261.fits
1237654669737853104,GALAXY,19.02454,17.79466,17.18796,16.84971,16.58356,306317374993229824,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0264.fits
1237654669737984262,GALAXY,19.62781,18.40469,17.51531,17.06698,16.78287,306319024260671488,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0270.fits
1237651800699633832,GALAXY,19.9328,18.03603,17.1388,16.71805,16.41286,306319299138578432,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0271.fits
1237648720146006287,GALAXY,19.0442,17.74187,17.00088,16.60092,16.32617,306322597673461760,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0283.fits
